"","CancerType","Race","AgeAdjustedRate"
"1","Brain and Other Nervous System","Black",3.7
"2","Brain and Other Nervous System","Asian/Pacific Islander",4.1
"3","Brain and Other Nervous System","American Indian/Alaska Native",4.4
"4","Brain and Other Nervous System","Hispanic",5.7
"5","Brain and Other Nervous System","White",7.8
"6","Female Breast","Asian/Pacific Islander",99.7
"7","Female Breast","Hispanic",101.1
"8","Female Breast","Black",119.6
"9","Female Breast","American Indian/Alaska Native",128.1
"10","Female Breast","White",136.9
"11","Colon and Rectum","Asian/Pacific Islander",30.7
"12","Colon and Rectum","Hispanic",30.9
"13","Colon and Rectum","White",35.2
"14","Colon and Rectum","Black",37.2
"15","Colon and Rectum","American Indian/Alaska Native",49.6
"16","Esophagus","Asian/Pacific Islander",1.9
"17","Esophagus","Black",2.9
"18","Esophagus","Hispanic",3.4
"19","Esophagus","American Indian/Alaska Native",5
"20","Esophagus","White",5
"21","Prostate","Asian/Pacific Islander",53
"22","Prostate","American Indian/Alaska Native",80.1
"23","Prostate","Hispanic",82.2
"24","Prostate","White",98.7
"25","Prostate","Black",142.8
"26","Leukemias","Asian/Pacific Islander",8.1
"27","Leukemias","Hispanic",11.3
"28","Leukemias","American Indian/Alaska Native",11.8
"29","Leukemias","Black",13.5
"30","Leukemias","White",15.2
"31","Liver and Intrahepatic Bile Duct","White",8
"32","Liver and Intrahepatic Bile Duct","Hispanic",14
"33","Liver and Intrahepatic Bile Duct","Asian/Pacific Islander",15.8
"34","Liver and Intrahepatic Bile Duct","Black",16.6
"35","Liver and Intrahepatic Bile Duct","American Indian/Alaska Native",20.1
"36","Non-Hodgkin Lymphoma","Asian/Pacific Islander",13.8
"37","Non-Hodgkin Lymphoma","Black",16.2
"38","Non-Hodgkin Lymphoma","Hispanic",17.7
"39","Non-Hodgkin Lymphoma","White",20.2
"40","Non-Hodgkin Lymphoma","American Indian/Alaska Native",21.2
"41","Pancreas","Asian/Pacific Islander",10.5
"42","Pancreas","Hispanic",10.8
"43","Pancreas","White",12.7
"44","Pancreas","American Indian/Alaska Native",12.9
"45","Pancreas","Black",15.8
"46","Ovary","Black",6.6
"47","Ovary","American Indian/Alaska Native",8.6
"48","Ovary","Hispanic",9.5
"49","Ovary","Asian/Pacific Islander",9.7
"50","Ovary","White",11.6
"51","Testis","Black",1.6
"52","Testis","Asian/Pacific Islander",2.3
"53","Testis","Hispanic",5.3
"54","Testis","American Indian/Alaska Native",6.2
"55","Testis","White",7.4
"56","Thyroid","Black",7.8
"57","Thyroid","American Indian/Alaska Native",10.9
"58","Thyroid","Hispanic",12.9
"59","Thyroid","Asian/Pacific Islander",13.2
"60","Thyroid","White",13.7
"61","Lung and Bronchus","Hispanic",34
"62","Lung and Bronchus","Asian/Pacific Islander",38.7
"63","Lung and Bronchus","White",56.8
"64","Lung and Bronchus","Black",57
"65","Lung and Bronchus","American Indian/Alaska Native",61.5
